issue	box_id	verdict	report_line	report_box_text	live_line_no	live_state_at_2026_08_14_mapping_proof	live_box_text	match
17	#17-05	PROVEN	65	แบ่งซ้ำด้วยค่าเดิมได้ผลการแบ่งชุดใหม่ ไม่ใช่ชุดเดิมค้าง	19	unticked	แบ่งซ้ำด้วยค่าเดิมได้ผลการแบ่งชุดใหม่ ไม่ใช่ชุดเดิมค้าง	EXACT
17	#17-06	PROVEN	74	กำหนดจำนวนทีมมากกว่าจำนวนคนไม่ได้ และบอกเหตุผลให้ผู้ใช้เห็น	20	unticked	กำหนดจำนวนทีมมากกว่าจำนวนคนไม่ได้ และบอกเหตุผลให้ผู้ใช้เห็น	EXACT
17	#17-07	PROVEN	83	มีรายการน้อยกว่า 2 กดแบ่งไม่ได้ และบอกเหตุผล	21	unticked	มีรายการน้อยกว่า 2 กดแบ่งไม่ได้ และบอกเหตุผล	EXACT
17	#17-08	PROVEN	97	เปิดหน้ามาแล้วเห็นรายชื่อกลุ่มเดิมรออยู่ และรายชื่อที่แก้ที่นี่มีผลกับเครื่องมือและเกมตัวอื่นด้วย	22	unticked	เปิดหน้ามาแล้วเห็นรายชื่อกลุ่มเดิมรออยู่ และรายชื่อที่แก้ที่นี่มีผลกับเครื่องมือและเกมตัวอื่นด้วย	EXACT
17	#17-09	PROVEN	112	มีทางกดต่อเข้าเกมโดยรายชื่อวงไหลต่อไปครบ	23	unticked	มีทางกดต่อเข้าเกมโดยรายชื่อวงไหลต่อไปครบ	EXACT
17	#17-11	UNPROVABLE	127	โฆษณาอยู่ใต้ตัวเครื่องมือ พื้นที่ถูกจองไว้ล่วงหน้า และไม่มีอะไรแทรกเหนือเนื้อหาหลังโหลด	25	unticked	โฆษณาอยู่ใต้ตัวเครื่องมือ พื้นที่ถูกจองไว้ล่วงหน้า และไม่มีอะไรแทรกเหนือเนื้อหาหลังโหลด	EXACT
17	#17-12	UNDECIDED	150	เคารพการตั้งค่าลดการเคลื่อนไหว และผลการแบ่งอ่านได้จากตัวหนังสือเสมอ	26	unticked	เคารพการตั้งค่าลดการเคลื่อนไหว และผลการแบ่งอ่านได้จากตัวหนังสือเสมอ	EXACT
17	#17-14	UNPROVABLE	180	ตรรกะการแบ่งรับตัวสุ่มเข้าไปได้ มีเทสที่ยืนยันว่าไม่มีใครหายและขนาดทีมต่างกันไม่เกินหนึ่ง และถูกพิสูจน์แบบสองทาง	28	unticked	ตรรกะการแบ่งรับตัวสุ่มเข้าไปได้ มีเทสที่ยืนยันว่าไม่มีใครหายและขนาดทีมต่างกันไม่เกินหนึ่ง และถูกพิสูจน์แบบสองทาง	EXACT
18	#18-01	PROVEN	29	กำหนดช่วงต่ำสุดและสูงสุด กดสุ่ม แล้วได้เลขที่อยู่ในช่วงนั้น	15	unticked	กำหนดช่วงต่ำสุดและสูงสุด กดสุ่ม แล้วได้เลขที่อยู่ในช่วงนั้น	EXACT
18	#18-02	PROVEN	40	สลับโหมดได้ระหว่างเลขซ้ำได้ กับ เลขที่ออกแล้วห้ามออกอีก	16	unticked	สลับโหมดได้ระหว่างเลขซ้ำได้ กับ เลขที่ออกแล้วห้ามออกอีก	EXACT
18	#18-04	PROVEN	54	ในโหมดไม่ซ้ำ เมื่อสุ่มจนครบทุกเลขในช่วง เครื่องมือบอกผู้ใช้ว่าหมดช่วงแล้ว ไม่ค้างเงียบและไม่คืนค่าว่าง	18	unticked	ในโหมดไม่ซ้ำ เมื่อสุ่มจนครบทุกเลขในช่วง เครื่องมือบอกผู้ใช้ว่าหมดช่วงแล้ว ไม่ค้างเงียบและไม่คืนค่าว่าง	EXACT
18	#18-05	PROVEN	67	เริ่มรอบใหม่แล้วทุกเลขกลับมาสุ่มได้อีก	19	unticked	เริ่มรอบใหม่แล้วทุกเลขกลับมาสุ่มได้อีก	EXACT
18	#18-06	PROVEN	80	ช่วงที่มีเลขน้อยกว่า 2 ตัว หรือค่าต่ำสุดมากกว่าค่าสูงสุด ถูกปฏิเสธพร้อมบอกเหตุผล ไม่ใช่สุ่มมั่ว	20	unticked	ช่วงที่มีเลขน้อยกว่า 2 ตัว หรือค่าต่ำสุดมากกว่าค่าสูงสุด ถูกปฏิเสธพร้อมบอกเหตุผล ไม่ใช่สุ่มมั่ว	EXACT
18	#18-07	PROVEN	104	ค่าช่วงที่ตั้งไว้ยังอยู่หลังรีเฟรชหน้า	21	unticked	ค่าช่วงที่ตั้งไว้ยังอยู่หลังรีเฟรชหน้า	EXACT
18	#18-09	UNPROVABLE	122	โฆษณาอยู่ใต้ตัวเครื่องมือ พื้นที่ถูกจองไว้ล่วงหน้า และไม่มีอะไรแทรกเหนือเนื้อหาหลังโหลด	23	unticked	โฆษณาอยู่ใต้ตัวเครื่องมือ พื้นที่ถูกจองไว้ล่วงหน้า และไม่มีอะไรแทรกเหนือเนื้อหาหลังโหลด	EXACT
18	#18-10	UNDECIDED	169	เคารพการตั้งค่าลดการเคลื่อนไหว และผลลัพธ์อ่านได้จากตัวหนังสือเสมอ	24	unticked	เคารพการตั้งค่าลดการเคลื่อนไหว และผลลัพธ์อ่านได้จากตัวหนังสือเสมอ	EXACT
18	#18-12	UNPROVABLE	208	ตรรกะการสุ่มเลขรับตัวสุ่มเข้าไปได้ มีเทสครอบโหมดไม่ซ้ำจนหมดช่วง และถูกพิสูจน์แบบสองทาง	26	unticked	ตรรกะการสุ่มเลขรับตัวสุ่มเข้าไปได้ มีเทสครอบโหมดไม่ซ้ำจนหมดช่วง และถูกพิสูจน์แบบสองทาง	EXACT
